id,Q.SuraID,Q.VerseID,Q.Text,B.BookName,B.BookID,B.ChapterID,B.VerseID,B.Text,is_similar
1,2,163,Your Deity is Allah alone: there is no deity save the All-Beneficent and All-Merciful Allah.,Mark,41,12,29,"Jesus answered, ""The greatest is, 'Hear, Israel, the Lord our God, the Lord is one:",1
2,2,163,Your Deity is Allah alone: there is no deity save the All-Beneficent and All-Merciful Allah.,Deuteronomy,5,6,4,"Hear, Israel: Yahweh is our God; Yahweh is one:",1
3,2,165,there are people who set up equals and rivals with Allah and adore them with the adoration due to Allah. whereas the Believers adore Allah most ardently. ,Mark,41,12,30,"you shall adore the Lord your God with all your heart, and with all your soul, and with all your mind, and with all your strength.' ",1
4,2,183,"O Believers, the Fast has been made obligatory on you just as it was prescribed for the followers of the Prophets before you. It is expected that this will produce piety in you.",Matthew,40,9,14,"Then John's disciples came to him, saying, ""Why do we and the Pharisees fast often, but your disciples do not fast?""",1
5,2,183,"O Believers, the Fast has been made obligatory on you just as it was prescribed for the followers of the Prophets before you. It is expected that this will produce piety in you.",Luke,42,2,37,"and she had been a widow for about eighty-four years), who didn't depart from the temple, worshipping with fastings and petitions night and day.",1
6,2,219,"They ask you about drinking and gambling. Say, ""There is great harm in both, though there is some benefit also for the people. But the harm of the sin thereof is far greater than their benefit. """,Luke,42,3,11,"He answered them, ""He who has two coats, let him give to him who has none. He who has food, let him do likewise.""",1
7,2,224,"Do not use Allah's name for such oaths which are taken to keep back from virtue, piety and the welfare of mankind:",Exodus,2,20,7,"""You shall not take the name of Yahweh your God in vain, for Yahweh will not hold him guiltless who takes his name in vain.",1
8,2,64,But even after that you forsook the Covenant: nevertheless Allah did not withhold His grace and mercy from you; otherwise you would have been utterly ruined long before this.,Geneses,1,2,21,"Yahweh God caused a deep sleep to fall on the man, and he slept; and he took one of his ribs, and closed up the flesh in its place.",0
9,2,100,"Has it not always been so that every time they made a covenant, some of them set it aside? Nay, most of them never believe in it sincerely.",Geneses,1,17,15,"God said to Abraham, ""As for Sarai your wife, you shall not call her name Sarai, but her name will be Sarah.",0
10,3,39,"As he stood praying in the sanctuary, the angels called out to him: Allah gives you good tidings of John (Yahya), who shall confirm a command of Allah, shall be outstanding among men, utterly chaste, and a Prophet from among the righteous.'",Luke,42,1,13,"But the angel said to him, ""Don't be afraid, Zechariah, because your request has been heard, and your wife, Elizabeth, will bear you a son, and you shall call his name John.",1
11,3,176,Let not those who run towards disbelief grieve you; they shall not hurt Allah in the least. Allah will not provide for them any share in the Next Life. A mighty punishment awaits them.,Leviticus,3,27,33,"He shall not search whether it is good or bad, neither shall he change it: and if he changes it at all, then both it and that for which it is changed shall be holy. It shall not be redeemed.'""",0
12,5,3,"Forbidden to you are carrion, blood, the flesh of pig, the animal slaughtered in any name other than Allah's",Deuteronomy,5,14,8,"The pig, because it has a split hoof but doesn't chew the cud, is unclean to you: of their flesh you shall not eat, and their carcasses you shall not touch.",1
13,5,38,As for the thief -male or female - cut off the hands of both.,Exodus,2,20,15,"""You shall not steal.",1
14,5,35,"Believers! Fear Allah and seek the means to come near to Him, and strive hard in His way; maybe you will attain true success.",Exodus,2,40,38,"For the cloud of Yahweh was on the tent by day, and there was fire in the cloud by night, in the sight of all the house of Israel, throughout all their journeys.",0
15,6,61,And He alone holds sway over His servants and sets angels over you till death approaches any of you and Our deputed angels take his soul,Exodus,2,23,20,"""Behold, I send an angel before you, to keep you by the way, and to bring you into the place which I have prepared.",1
16,7,183,And (for this purpose) I will grant them respite. My design is incontrovertible.,Numbers,4,7,77,"and for the sacrifice of peace offerings, two oxen, five rams, five male goats, and five male lambs a year old. This was the offering of Pagiel the son of Ochran.",0
17,8,4,"Such people are indeed true believers. They have high ranks with their Lord, and forgiveness for their sins and an honourable sustenance.",Deuteronomy,5,24,13,"you shall surely restore to him the pledge when the sun goes down, that he may sleep in his garment, and bless you: and it shall be righteousness to you before Yahweh your God.",0
18,10,84,Moses said: 'My people! If you believe in Allah and are truly Muslims then place your reliance on Him alone.',Joshua,6,21,32,"Out of the tribe of Naphtali, Kedesh in Galilee with its suburbs, the city of refuge for the manslayer, and Hammothdor with its suburbs, and Kartan with its suburbs; three cities.",0
19,16,69,"then suck the juice of every kind of fruit and keep treading the ways of your Lord which have been made easy."" There comes forth from their bellies a drink varied in colours, wherein there is healing for men. Verily there is a sign in this for those who reflect.",Judges,7,7,4,"Yahweh said to Gideon, The people are yet too many; bring them down to the water, and I will try them for you there: and it shall be, that of whom I tell you, This shall go with you, the same shall go with you; and of whoever I tell you, This shall not go with you, the same shall not go.",0
20,17,32,"Do not even approach fornication for it is an outrageous act, and an evil way.",Deuteronomy,5,5,18,"""Neither shall you commit fornication.",1
21,18,21,"Thus did We make their case known to the people of the city so that they might know that Allah's promise is true, and that there is absolutely no doubt that the Hour will come to pass. But instead of giving thought to this, they disputed with one another concerning the People of the Cave, some saying: ""Build a wall over them. Their Lord alone knows best about them."" But those who prevailed over their affairs said: ""We shall build a place of worship over them.""",1Samuel,9,4,14,"When Eli heard the noise of the crying, he said, What means the noise of this tumult? The man hurried, and came and told Eli.",0
22,19,55,He enjoined his household to observe Prayer and to give Zakah (purifying alms); and his Lord was well pleased with him.,Acts,44,10,2,"a devout man, and one who feared God with all his house, who gave charity for the needy generously to the people, and always prayed to God.",1
23,19,55,He enjoined his household to observe Prayer and to give Zakah (purifying alms); and his Lord was well pleased with him.,1Timothy,54,5,8,"But if anyone doesn't provide charity for his own, and especially his own household, he has denied the faith, and is worse than an unbeliever.",1
24,19,7,"(He was told): ""Zechariah, We bring you the good news of the birth of a son whose name shall be Yahya (John), one whose namesake We never created before.""",,42,1,13,"But the angel said to him, ""Don't be afraid, Zechariah, because your request has been heard, and your wife, Elizabeth, will bear you a son, and you shall call his name John.",1
25,19,8,"Zechariah said: ""My Lord! How can I have a boy when my wife is barren and I have reached an extremely old age?""",Luke,42,1,7,"But Zechariah had no child, because his wife Elizabeth was barren, and they both were well advanced in years.",1
26,20,14,Verily I am Allah. There is no god beside Me. So serve Me and establish Prayers to remember Me.,Matthew,40,26,36,"Then Jesus said to his disciples, ""Sit here, while I go there and pray.""",1
27,20,14,Verily I am Allah. There is no god beside Me. So serve Me and establish Prayers to remember Me.,Mark,41,1,35,"he rose up and went out, and departed into a deserted place, and prayed there.",1
28,20,70,"Eventually the magicians were impelled to fall down prostrate and said: ""We believe in the Lord of Moses and Aaron.""",2Samuel,10,4,10,"when one told me, saying, Behold, Saul is dead, thinking to have brought good news, I took hold of him, and killed him in Ziklag, which was the reward I gave him for his news.",0
