id,SuraID1,VerseID1,Text1,SuraID2,VerseID2,Text2,common,is_similar
2,1,1,"In the name of Allah, the Merciful, the Compassionate",1,3,"The Merciful, the Compassionate",2,1
9,1,1,"In the name of Allah, the Merciful, the Compassionate",7,180,Allah has the most excellent names. So call on Him by His names and shun those who distort them. They shall soon be requited for their deeds.,1,1
16,1,1,"In the name of Allah, the Merciful, the Compassionate",17,110,"Say to them (O Prophet!): ""Call upon Him as Allah or call upon Him as al-Rahman; call Him by whichever name you will, all His names are beautiful. Neither offer your Prayer in too loud a voice, nor in a voice too low; but follow a middle course.""",3,1
19,1,1,"In the name of Allah, the Merciful, the Compassionate",20,5,The Most Compassionate Lord is settled on the Throne (of the Universe).,2,1
22,1,1,"In the name of Allah, the Merciful, the Compassionate",25,60,"When it is said to them. ""Prostrate yourselves before the Merciful,"" they retort, ""What is the Merciful? Would you have us prostrate ourselves before whomsoever you will?"" And this invitation only helps to increase their hatred all the more.",2,1
24,1,1,"In the name of Allah, the Merciful, the Compassionate",43,45,Ask all Our Messengers whom We sent before you whether We had appointed any deities beside the Merciful One to be worshipped.,2,1
26,1,1,"In the name of Allah, the Merciful, the Compassionate",55,78,"Blessed be the name of your Lord, the Lord of Majesty and Glory.",1,1
27,1,1,"In the name of Allah, the Merciful, the Compassionate",56,74,"Glorify, then, (O Prophet), the name of your Great Lord.",1,1
29,1,1,"In the name of Allah, the Merciful, the Compassionate",59,23,"He is Allah: there is no god but He: the King, the Holy, the All-Peace, the Giver of security, the Overseer, the Most Mighty, the Overpowering, the All-Great. Exalted be He from whatever they associate with Him.",0,1
30,1,1,"In the name of Allah, the Merciful, the Compassionate",59,24,"He is Allah, the Planner, Executer and Fashioner of creation. His are the names most beautiful. Whatever is in the heavens and the earth extols His Glory. He is the Most Mighty, the Most Wise.",1,1
33,1,2,"Praise be to Allah, the Lord of the entire universe.",18,46,"Wealth and children are an adornment of the life of the world. But the deeds of lasting righteousness are the best in the sight of your Lord in reward, and far better a source of hope.",1,1
34,1,2,"Praise be to Allah, the Lord of the entire universe.",25,1,"Highly blessed is He, Who has sent down Al-Furqan, to His servant so that it may be a warner to all mankind:",1,1
35,1,2,"Praise be to Allah, the Lord of the entire universe.",26,23,"Pharaoh said: ""And who is this Lord of the Universe?""",2,1
36,1,2,"Praise be to Allah, the Lord of the entire universe.",26,24,"Moses answered: ""The Lord of the heavens and the earth and of all that is between them, if you were only to believe.""",1,1
