id,SuraID1,VerseID1,Text1,SuraID2,VerseID2,Text2,is_similar
1,20,56,"And We verily did show him all Our tokens, but he denied them and refused.",74,27,"- Ah, what will convey unto thee what that burning is! -",0
2,24,24,"On the day when their tongues and their hands and their feet testify against them as to what they used to do,",86,2,"- Ah, what will tell thee what the Morning Star is!",0
3,16,45,"Are they who plan ill-deeds then secure that Allah will not cause the earth to swallow them, or that the doom will not come on them whence they know not?",56,85,"- And We are nearer unto him than ye are, but ye see not -",0
4,10,10,"Their cry in it will be: 'Glory be to You, Our Lord!', and their greeting: 'Peace!'; and their cry will always end with: 'All praise be to Allah, the Lord of the universe.",13,23,"- the Ever-lasting Gardens which they shall enter and so shall the righteous from among their fathers, and their spouses, and their offspring. And angels shall enter unto them from every gate, and say:",1
5,22,24,They were guided (to accept) the pure word; they were guided to the Way of the Praiseworthy (Lord).,13,23,"- the Ever-lasting Gardens which they shall enter and so shall the righteous from among their fathers, and their spouses, and their offspring. And angels shall enter unto them from every gate, and say:",1
6,24,25,"On that day Allah will pay them their just due, and they will know that Allah, He is the Manifest Truth.",86,3,- The piercing Star!,0
7,28,7,"We suggested to the mother of Moses: ""Suckle your child, but when you fear for his life cast him into the river and be not fearful nor grieve, for We shall restore him to you and make him one of the Messengers.""",20,39,"'Put the baby into a chest and then throw him in the river. The river will throw him up on the shore, and then an enemy of Mine and an enemy of his will take him.' And I spread My love over you in order that you might be reared in My sight.",1
8,54,5,narratives that are full of consummate wisdom. But warnings do not avail them.,6,149,"'Then say to them: '(As against your argument) Allah's is the conclusive argument. Surely, had He willed, He would have guided you all to the Truth.",1
9,43,3,verily We have made it an Arabic Quran that you may understand.,26,195,"(a revelation) in clear Arabic language,",1
10,24,38,"(And they behave like this) so that Allah may reward them for their excellent deeds and, in addition to it, show His favour to them out of His bounty: Allah provides without stint for anyone He pleases.",35,30,"(a trade in which they have invested their all) so that Allah may pay them their wages in full and may add to them out of His Bounty. He is Most Forgiving, Most Appreciative.",1
11,11,115,"And have patience, (O Muhammad), for lo! Allah loseth not the wages of the good.",51,31,"(Abraham) said: And (afterward) what is your errand, O ye sent (from Allah)?",0
12,2,29,He it is Who created for you all that there is on the Earth; He then turned to the sky and ordered it into seven heavens. And He has full knowledge of everything.,41,10,"(After creating the earth) He set up firm mountains on it, blessed it, and provided it with sustenance in proportion to the needs of all who seek (sustenance). All this was done in four days.",1
13,17,15,He who follows the Right Way shall do so to his own advantage; and he who strays shall incur his own loss. No one shall bear another's burden. And never do We punish any people until We send a Messenger (to make the Truth distinct from falsehood).,39,71,"(After the judgement has been passed) the unbelievers shall be driven in companies to Hell so that when they arrive there, its gates shall be thrown open and its keepers shall say to them: _Did Messengers from among yourselves not come to you, rehearsing to you the Signs of your Lord and warning you against your meeting of this Day?ù They will say: _Yes indeed; but the sentence of chastisement was bound to be executed against the unbelievers.ù",1
14,67,9,"They will say: _Yes, a warner came to us, but we gave the lie to him and said: 'Allah has revealed nothing. You are surely in huge error.'",39,71,"(After the judgement has been passed) the unbelievers shall be driven in companies to Hell so that when they arrive there, its gates shall be thrown open and its keepers shall say to them: _Did Messengers from among yourselves not come to you, rehearsing to you the Signs of your Lord and warning you against your meeting of this Day?ù They will say: _Yes indeed; but the sentence of chastisement was bound to be executed against the unbelievers.ù",1
15,30,19,"He brings forth the living from the dead and brings forth the dead from the living, and revives the earth after it is dead. Likewise will you be raised to life (after you die).",22,7,(all of which shows that) the Hour shall surely come to pass - in this there is no doubt - and Allah shall surely resurrect those that are in graves.,1
16,6,34,"Messengers indeed have been denied before thee, and they were patient under the denial and the persecution till Our succour reached them. There is none to alter the decisions of Allah. Already there hath reached thee (somewhat) of the tidings of the messengers (We sent before).",37,153,(And again of their falsehood): He hath preferred daughters to sons.,0
17,28,62,"(Let them not forget) that the Day when Allah will call unto them, and say: ""Where are those whom you imagined to be My associates?""",6,94,"(And Allah will say): 'Now you have come to Us all alone even as We had created you in the first instance, and you have left behind all that We had bestowed upon you in the world. We do not see with you your intercessors whom you imagined to have a share with Allah in your affairs. You have now been cut off from one another and all those whom you imagined (to be Allah's associates in your affairs) have failed you.'",1
18,9,100,"And of those who led the way - the first of the Emigrants (Muhajirun) and the Helpers (Ansar), and those who followed them in the best possible manner - Allah is well-pleased with them and they are well-pleased with Allah. He has prepared for them Gardens beneath which rivers flow; therein they will abide forever. That is the supreme triumph.",59,10,"(And it also belongs to) those who came after them, and who pray: _Lord, forgive us and our brethren who have preceded us in faith, and do not put in our hearts any rancour towards those who believe. Lord, You are the Most Tender, the Most Compassionate.ù",1
19,5,23,"Then out spake two of those who feared (their Lord, men) unto whom Allah had been gracious: Enter in upon them by the gate, for if ye enter by it, lo! ye will be victorious. So put your trust (in Allah) if ye are indeed believers.",37,22,"(And it is said unto the angels): Assemble those who did wrong, together with their wives and what they used to worship",0
20,12,40,"Those whom ye worship beside Him are but names which ye have named, ye and your fathers. Allah hath revealed no sanction for them. The decision rests with Allah only, Who hath commanded you that ye worship none save Him. This is the right religion, but most men know not.",52,19,"(And it is said unto them): Eat and drink in health (as a reward) for what ye used to do,",0
21,7,136,Therefore We took retribution from them; therefore We drowned them in the sea: because they denied Our revelations and were heedless of them.,40,75,"(And it is said unto them): This is because ye exulted in the earth without right, and because ye were petulant.",0
22,12,35,And it seemed good to them (the men-folk) after they had seen the signs (of his innocence) to imprison him for a time.,52,14,(And it is said unto them): This is the Fire which ye were wont to deny.,0
